site,year,sheet,remarks
SRQE,2013,Campaign,
SUAL,2006,Campaign,
SUAL,2008,Campaign,
SUAL,2009,Campaign,
SUAL,2011,Campaign,
SUAL,2013,Campaign,
TAGB,2008,Campaign,To retrieve
TAGB,2010,Campaign,To retrieve
TAGB,2011,Campaign,To retrieve
TANY,2013,Continuous,
TARL,2006,Campaign,
TARL,2008,Campaign,
TARL,2009,Campaign,
TAWI,2012,Continuous,To convert
TAWI,2013,Continuous,To convert
TCGN,2013,Continuous,
TGDN,2012,Continuous,
TNDG,2013,Continuous,To retrieve
TONA,1995,Campaign,
TONA,1997,Campaign,
TONA,1999,Campaign,
TONA,2001,Campaign,
TONA,2009,Campaign,
TONA,2011,Campaign,
TONF,1999,Campaign,
TONF,2001,Campaign,
TONF,2009,Campaign,
TONF,2011,Campaign,
TONU,2001,Campaign,
TRC3,2008,Campaign,
TRC3,2009,Campaign,
TRC3,2011,Campaign,
TRC3,2013,Campaign,
TRLC,2015,Campaign,
TUAO,2012,Continuous,
TUKU,2010,Campaign,
URDT,2012,Continuous,
URDT,2013,Continuous,
VIGN,2012,Continuous,
VIGN,2013,Continuous,
VRC4,2007,Campaign,
VRC4,2015,Campaign,
ZBS1,2008,Campaign,
ZBS1,2009,Campaign,
ZBS1,2011,Campaign,
ZBS1,2013,Campaign,
ZBS3,2008,Campaign,
ZBS3,2009,Campaign,
ZBS3,2011,Campaign,
ZBS3,2013,Campaign,
